Date,Close,MA(12),MA,Seasonal ratio,,Months,seasonal factor,,MA,TREND,,C+E = DETRENDED,,CYCLE
2010-01-01,16357.959961,,,,,jan,1.0020844582916,,18289.6357830417,1,,3728.78578304167,,2925.14066375695
2010-02-01,16429.550781,,,,,feb,0.967097426394779,,18429.787842,2,,3664.597842,,2669.75799001389
2010-03-01,17527.769531,,,,,mar,1.04725729200203,,18567.7587079167,3,,3598.22870791667,,2398.51219438542
2010-04-01,17558.710938,,,,,apr,1.02258223146712,,18713.37125675,4,,3539.50125675,,2108.43638844792
2010-05-01,16944.630859,,,,,may,0.981917120281028,,18844.0336916667,5,,3465.82369166667,,1792.82977331945
2010-06-01,17700.900391,,,,,jun,0.994154290673978,,18956.6844078333,6,,3374.13440783333,,1452.09191564584
2010-07-01,17868.289063,,,,,july,0.95683601509486,,19018.0960289167,7,,3231.20602891667,,1089.11706184722
2010-08-01,17971.119141,,,,,aug,0.87874725960009,,18977.8685712083,8,,2986.63857120834,,712.771419475696
2010-09-01,20069.119141,,,,,sep,0.876444886620386,,18773.2965497083,9,,2577.72654970834,,338.885636319446
2010-10-01,20032.339844,,,,,oct,0.955700707110359,,18525.6844891667,10,,2125.77448916667,,-7.49074064235992
2010-11-01,19521.25,,,,,nov,0.88168307811736,,18287.137817625,11,,1682.887817625,,-322.436419638888
2010-12-01,20509.089844,18207.5607911667,,,,dec,0.861719729255006,,17934.97281925,12,,1126.38281925,,-603.555947107639
2011-01-01,18327.759766,18371.7107749167,18289.6357830417,1.0020844582916,,,,,17677.123698125,13,,664.193698125004,,-830.369254413194
2011-02-01,17823.400391,18487.8649090833,18429.787842,0.967097426394779,,,,,17626.9182944583,14,,409.648294458337,,-1012.52422973611
2011-03-01,19445.220703,18647.65250675,18567.7587079167,1.04725729200203,,,,,17538.9290366667,15,,117.319036666668,,-1177.2652510625
2011-04-01,19135.960938,18779.09000675,18713.37125675,1.02258223146712,,,,,17378.1718752083,16,,-247.778124791668,,-1325.85289782639
2011-05-01,18503.279297,18908.9773765833,18844.0336916667,0.981917120281028,,,,,17207.2593995833,17,,-623.030600416667,,-1448.48529692361
2011-06-01,18845.869141,19004.3914390833,18956.6844078333,0.994154290673978,,,,,17053.06616225,18,,-981.56383775,,-1536.98908815972
2011-07-01,18197.199219,19031.80061875,19018.0960289167,0.95683601509486,,,,,16954.0283204583,19,,-1284.94167954167,,-1593.51982980556
2011-08-01,16676.75,18923.9365236667,18977.8685712083,0.87874725960009,,,,,16943.3191733333,20,,-1499.99082666666,,-1627.64689849306
2011-09-01,16453.759766,18622.65657575,18773.2965497083,0.876444886620386,,,,,17068.8600261667,21,,-1578.78997383333,,-1649.25483605208
2011-10-01,17705.009766,18428.7124025833,18525.6844891667,0.955700707110359,,,,,17198.4163412083,22,,-1653.57365879167,,-1674.88006690278
2011-11-01,16123.459961,18145.5632326667,18287.137817625,0.88168307811736,,,,,17365.783488,23,,-1690.546512,,-1699.92607411458
2011-12-01,15454.919922,17724.3824058333,17934.97281925,0.861719729255006,,,,,17665.2931315833,24,,-1595.37686841666,,-1724.64445477778
2012-01-01,17193.550781,17629.8649904167,17677.123698125,0.972644140224221,,,,,17943.34399425,25,,-1521.66600575,,-1763.22475696528
2012-02-01,17752.679688,17623.9715985,17626.9182944583,1.00713462168717,,,,,18102.1060385417,26,,-1567.24396145833,,-1816.77166614583
2012-03-01,17404.199219,17453.8864748333,17538.9290366667,0.992318241473866,,,,,18207.9572755,27,,-1665.73272450001,,-1873.55760256597
2012-04-01,17318.810547,17302.4572755833,17378.1718752083,0.99658414425668,,,,,18358.6630860417,28,,-1719.36691395833,,-1918.9940584618
2012-05-01,16218.530273,17112.0615235833,17207.2593995833,0.942539999913799,,,,,18597.29390475,29,,-1685.07609525,,-1954.54446699653
2012-06-01,17429.980469,16994.0708009167,17053.06616225,1.02210243619323,,,,,18826.7772625,30,,-1659.9327375,,-1984.38820710417
2012-07-01,17236.179688,16913.98584,16954.0283204583,1.01664214322452,,,,,18996.5834962083,31,,-1694.46650379167,,-1996.98400545139
